Save_DateTime,oLAH54,oPAL65,oSX22,oUX95,oSS86,oTAH98,oPAL75,oPAL41,oPDAH61_62,oPAL62,oPAL51,oTAH76,oTAH62,oLAL68,oLAH68,iZS46,oSAH81,oTDAH25,oTAH27,oTAH26,iTI76,iTI62,iTI51,iTI98_1,iTI98_2,iTI98_3,iPI75,iPI62,iPI51,iPI41,oSX86,oSX40,iPSL62,iTSH76,iZS49,iSSH81,oZS96,oZS97,iLSH92,oSS47A,iTE25_1,iTE25_2,iTE25_3,iTE25_4,iTE25_5,iTE25_6,iTE25_7,iTE25_8,iTE25_9,iTE27,iTE26_1,iTE26_2,iTE26_3,iTE26_4,iTI71,iTI21,iPI71,iPI61,iPI63,iPI21,oSE47,oSE42,iUX95,oSX84,iSS86_3,oPAL71,oPAL63,iLAH92,iAUX,iSX47_2,iSX47_1,oTSH69_67,oTSH69_67A,iTI69_1,iTI69_2,iTI69_3,iTI69_4,iTI69_5,iTI69_6,iTI69_7,iTI69_8,iTI69_9,iTI69_10,iTI69_11,iTI67_1,oTAH67_1,oTAH67_2,oTAH98_1,oTAH98_2,EngStop,StopSolvv,PreLugStart,StartSolvv,FuelLimitSolvv,EmergencySolvv,ReadyToStart,oTah71
2003-11-18 9:15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,69,86,81,83,85,1.89,4.22,4.67,7.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,380,387,403,395,416,379,0,0,0,392,481,473,0,0,40,46,2.27,6.16,3.79,1.11,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,49,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,69,86,80,82,84,1.77,4.22,3.68,7.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,377,383,402,391,410,375,0,0,0,389,478,471,0,0,40,46,2.28,6.17,3.8,1.12,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,49,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,69,85,80,81,84,1.82,4.22,3.78,7.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,377,382,400,392,410,375,0,0,0,389,478,470,0,0,40,46,2.28,6.17,3.83,1.1,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,49,49,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,69,85,79,81,83,1.72,4.24,4.04,7.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,376,382,399,392,410,374,0,0,0,389,477,470,0,0,40,46,2.25,6.18,3.88,1.11,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,49,49,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,69,84,79,80,83,1.83,4.23,2.82,7.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,379,387,400,394,414,376,0,0,0,391,481,471,0,0,40,46,2.26,6.17,3.79,1.11,900,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,69,84,78,80,82,1.86,4.23,3.79,7.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,377,387,401,393,413,376,0,0,0,391,481,470,0,0,40,46,2.3,6.19,3.83,1.1,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,69,83,78,80,82,1.88,4.24,3.18,7.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,378,386,404,394,413,378,0,0,0,392,483,470,0,0,40,46,2.28,6.19,3.81,1.11,900,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,49,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,69,83,78,79,81,1.74,4.25,2.66,7.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,377,385,401,392,417,374,0,0,0,391,482,470,0,0,40,46,2.26,6.19,3.81,1.13,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,49,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,69,82,77,79,81,1.9,4.24,4.03,7.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,381,384,402,391,424,372,0,0,0,392,483,471,0,0,40,46,2.25,6.19,3.82,1.1,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,49,49,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003-11-18 9:24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,69,80,77,78,80,1.78,4.24,1.6,7.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,378,387,396,390,424,369,0,0,0,390,479,471,0,0,40,46,2.29,6.19,3.92,1.11,899,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,48,48,48,48,49,48,49,0,0,0,49,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
